length	Evalue	attribute
6.1 	53	other
5.6 	43	other
5.8 	55	other
5.2 	43	other
5.3 	43	other
5.3 	39	other
5.3 	37	other
77.1 	130	nifK
97.7 	143	nifK
7.7 	44	other
7.7 	85	other
5.8 	42	other
6.9 	46	other
6.9 	26	other
6.9 	37	other
6.4 	31	other
6.2 	32	other
55.7 	269	other
5.8 	52	other
5.8 	37	other
56.3 	277	other
5.1 	37	other
6.6 	32	other
7.3 	43	other
5.9 	31	other
6.1 	52	other
187.1 	293	other
134.2 	272	nifK
7.1 	57	other
7.1 	26	other
7.1 	36	other
154.5 	242	nifK
31.3 	50	other
6.2 	28	other
6.2 	24	other
5.2 	37	other
5.9 	45	other
56.8 	270	other
185.6 	290	nifK
7.5 	46	other
7.5 	74	other
7.0 	49	other
5.0 	35	other
189.1 	291	nifK
5.2 	56	other
188.8 	291	nifK
8.2 	45	other
8.2 	12	other
8.2 	26	other
5.9 	37	other
5.2 	38	other
10.9 	46	other
10.9 	21	other
190.7 	293	nifK
6.9 	36	other
6.9 	38	other
5.9 	43	other
183.9 	290	nifK
6.1 	33	other
8.0 	60	other
57.0 	272	other
7.5 	46	other
7.5 	74	other
6.8 	49	other
8.3 	46	other
8.3 	38	other
5.4 	38	other
184.9 	292	nifK
5.6 	20	other
5.6 	36	other
6.1 	47	other
10.7 	46	other
10.7 	23	other
5.2 	37	other
5.2 	30	other
189.4 	291	nifK
186.6 	293	other
188.2 	291	nifK
5.1 	31	other
7.5 	46	other
7.5 	74	other
7.0 	32	other
56.4 	272	other
7.0 	49	other
6.7 	52	other
6.7 	26	other
6.7 	36	other
5.2 	38	other
7.2 	58	other
56.4 	268	other
6.9 	51	other
7.4 	43	other
7.4 	73	other
7.1 	34	other
7.1 	42	other
188.1 	290	nifK
190.2 	291	nifK
8.2 	45	other
5.7 	45	other
7.4 	45	other
7.4 	47	other
5.9 	43	other
5.4 	40	other
5.4 	42	other
7.5 	33	other
7.5 	44	other
6.3 	36	other
190.4 	292	nifK
189.3 	292	nifK
5.7 	56	other
5.7 	35	other
6.7 	40	other
7.9 	36	other
7.0 	45	other
7.0 	74	other
56.2 	270	other
9.1 	40	other
5.0 	42	other
5.6 	45	other
6.1 	23	other
5.0 	50	other
6.2 	35	other
6.1 	31	other
5.7 	39	other
7.4 	38	other
6.9 	35	other
188.7 	292	nifK
5.9 	45	other
7.4 	37	other
7.4 	37	other
7.5 	46	other
7.5 	75	other
58.0 	272	other
9.3 	38	other
9.3 	59	other
5.2 	37	other
5.9 	45	other
6.2 	28	other
6.2 	24	other
6.5 	56	other
6.5 	26	other
6.5 	36	other
190.3 	293	nifK
185.5 	293	other
135.2 	272	nifK
188.9 	291	nifK
5.2 	30	other
5.2 	56	other
7.0 	49	other
7.5 	46	other
7.5 	74	other
6.5 	41	other
56.8 	270	other
9.9 	62	other
9.9 	64	other
7.0 	43	other
7.0 	42	other
4.9 	47	other
8.5 	46	other
8.5 	42	other
6.4 	46	other
6.4 	71	other
5.4 	38	other
7.5 	46	other
7.5 	74	other
7.0 	49	other
5.2 	37	other
7.8 	46	other
185.6 	290	nifK
56.9 	270	other
5.9 	45	other
135.7 	272	nifK
186.5 	293	other
5.6 	37	other
6.2 	28	other
6.2 	24	other
6.5 	56	other
6.5 	26	other
6.5 	36	other
190.7 	293	nifK
189.1 	291	nifK
4.7 	42	other
4.7 	45	other
6.1 	38	other
6.1 	38	other
154.4 	242	nifK
8.3 	40	other
29.7 	45	nifK
55.3 	268	other
7.0 	44	other
7.0 	73	other
8.2 	36	other
7.4 	57	other
7.1 	57	other
190.6 	293	nifK
10.1 	45	other
10.1 	27	other
6.0 	47	other
6.2 	43	other
97.4 	161	nifK
6.4 	45	other
5.1 	44	other
7.1 	59	other
5.4 	32	other
7.4 	47	other
5.0 	31	other
6.9 	59	other
185.2 	292	other
56.2 	268	other
7.7 	43	other
7.7 	73	other
6.5 	34	other
77.9 	135	nifK
98.3 	143	nifK
5.2 	50	other
10.7 	46	other
10.7 	22	other
5.6 	37	other
5.8 	39	other
57.2 	268	other
5.5 	39	other
5.9 	67	other
5.9 	55	other
6.0 	39	other
6.0 	52	other
7.0 	36	other
5.4 	31	other
7.4 	38	other
5.6 	56	other
9.8 	44	other
9.8 	106	other
5.1 	38	other
8.0 	55	other
11.0 	36	other
11.0 	52	other
5.3 	36	other
5.0 	31	other
6.3 	44	other
7.7 	39	other
7.7 	35	other
6.5 	31	other
190.7 	292	nifK
7.0 	43	other
7.0 	71	other
10.8 	46	other
10.8 	23	other
5.8 	39	other
56.0 	268	other
6.0 	45	other
186.9 	293	other
6.6 	43	other
6.4 	63	other
185.8 	293	other
9.7 	32	nifK
81.1 	126	other
93.9 	138	nifK
8.1 	45	other
8.1 	74	other
57.1 	270	other
6.3 	38	other
6.5 	31	other
5.9 	43	other
5.6 	37	other
6.0 	33	other
5.4 	41	other
7.5 	33	other
7.5 	44	other
5.9 	59	other
5.9 	42	other
6.0 	46	other
5.6 	43	other
9.1 	40	other
56.2 	270	other
7.0 	45	other
7.0 	74	other
6.6 	32	other
5.7 	56	other
5.7 	35	other
189.3 	292	other
190.4 	292	nifK
7.1 	43	other
6.0 	45	other
186.9 	293	other
6.6 	43	other
6.4 	63	other
185.8 	293	other
9.7 	32	nifK
81.1 	126	other
93.9 	138	nifK
8.1 	45	other
8.1 	74	other
57.1 	270	other
6.3 	38	other
6.5 	31	other
5.9 	43	other
5.6 	37	other
6.0 	33	other
5.4 	41	other
90.8 	147	nifK
5.9 	39	other
7.9 	43	other
7.9 	74	other
54.8 	269	other
6.6 	32	other
175.4 	286	nifK
6.0 	47	other
55.5 	268	other
7.9 	44	other
7.3 	46	other
7.3 	30	other
7.2 	38	other
8.0 	45	other
8.0 	21	other
12.7 	41	other
12.7 	39	other
6.1 	48	other
6.7 	33	other
9.2 	31	nifK
8.7 	45	other
8.7 	106	other
6.4 	37	other
62.0 	107	nifK
56.1 	269	other
5.7 	39	other
8.4 	33	other
8.4 	30	other
7.1 	40	other
7.1 	25	other
7.1 	24	other
11.5 	46	other
5.6 	27	other
28.1 	47	nifK
5.7 	39	other
6.7 	33	other
28.1 	47	nifK
8.4 	33	other
8.4 	30	other
7.1 	40	other
7.1 	25	other
7.1 	24	other
8.7 	45	other
8.7 	106	other
5.6 	27	other
62.0 	107	nifK
6.1 	48	other
9.2 	31	nifK
11.5 	46	other
6.4 	37	other
56.1 	269	other
5.8 	42	other
5.8 	22	other
56.4 	246	other
6.1 	34	other
6.2 	54	other
8.8 	57	other
8.8 	106	other
6.7 	56	other
6.7 	29	other
9.8 	60	other
5.8 	32	other
11.1 	47	other
11.1 	23	other
6.6 	31	other
5.6 	42	other
6.0 	35	other
55.7 	268	other
5.1 	35	other
5.1 	38	other
7.0 	39	other
6.4 	40	other
56.2 	273	other
5.9 	48	other
8.4 	50	other
7.5 	55	other
156.0 	271	nifK
6.7 	36	other
6.7 	41	other
8.3 	44	other
8.3 	28	other
6.5 	37	other
6.6 	35	other
6.6 	41	other
56.1 	273	other
5.9 	48	other
7.5 	55	other
6.3 	40	other
156.2 	271	nifK
8.3 	44	other
8.3 	28	other
8.8 	57	other
8.8 	106	other
54.8 	269	other
94.0 	138	nifK
6.6 	32	other
7.9 	43	other
7.9 	74	other
90.8 	147	nifK
9.0 	44	other
9.0 	105	other
5.8 	30	other
5.8 	61	other
5.8 	30	other
5.8 	61	other
9.0 	44	other
9.0 	105	other
9.0 	44	other
9.0 	104	other
5.8 	30	other
5.8 	61	other
9.0 	44	other
9.0 	105	other
185.2 	292	other
7.7 	45	other
56.1 	268	other
5.4 	37	other
5.4 	31	other
5.3 	42	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
6.6 	33	other
5.4 	31	other
7.1 	36	other
7.1 	36	other
5.7 	47	other
190.0 	293	nifK
5.7 	45	other
188.8 	290	nifK
185.2 	292	other
56.1 	268	other
5.4 	31	other
5.3 	42	other
188.8 	290	nifK
5.7 	34	other
5.7 	21	other
6.7 	34	other
6.6 	33	other
190.0 	293	nifK
7.1 	36	other
7.1 	36	other
7.7 	45	other
5.7 	47	other
5.7 	45	other
5.4 	37	other
5.4 	31	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
5.3 	42	other
7.1 	36	other
7.1 	36	other
6.6 	33	other
185.2 	292	other
190.0 	293	nifK
188.8 	290	nifK
5.7 	47	other
56.1 	268	other
7.7 	45	other
5.7 	45	other
5.4 	31	other
5.4 	37	other
5.4 	31	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
5.3 	42	other
7.1 	36	other
7.1 	36	other
6.6 	33	other
185.2 	292	other
188.8 	290	nifK
190.0 	293	nifK
5.7 	47	other
56.1 	268	other
5.7 	45	other
5.4 	31	other
5.4 	37	other
5.4 	31	other
7.7 	45	other
5.4 	31	other
5.3 	42	other
6.6 	33	other
185.2 	292	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
190.0 	293	nifK
7.1 	36	other
7.1 	36	other
5.7 	47	other
188.8 	290	nifK
7.7 	45	other
5.7 	45	other
5.4 	37	other
5.4 	31	other
56.1 	268	other
5.3 	42	other
188.8 	290	nifK
6.6 	33	other
7.1 	36	other
7.1 	36	other
190.0 	293	nifK
5.7 	47	other
56.1 	268	other
5.7 	45	other
7.7 	45	other
5.4 	31	other
5.4 	37	other
5.4 	31	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
185.2 	292	other
185.2 	292	other
56.1 	268	other
6.6 	33	other
5.3 	42	other
6.7 	34	other
5.7 	34	other
5.7 	21	other
188.8 	290	nifK
5.4 	31	other
190.0 	293	nifK
7.1 	36	other
7.1 	36	other
5.7 	47	other
7.7 	45	other
5.7 	45	other
5.4 	37	other
5.4 	31	other
185.2 	292	other
5.4 	31	other
5.4 	37	other
5.4 	31	other
188.8 	290	nifK
5.3 	42	other
6.6 	33	other
5.7 	34	other
5.7 	21	other
6.7 	34	other
7.1 	36	other
7.1 	36	other
190.0 	293	nifK
5.7 	47	other
7.7 	45	other
5.7 	45	other
56.1 	268	other
185.2 	292	other
5.4 	37	other
5.4 	31	other
5.3 	42	other
6.6 	33	other
56.1 	268	other
6.7 	34	other
190.0 	293	nifK
5.4 	31	other
5.7 	47	other
5.7 	34	other
5.7 	21	other
7.1 	36	other
7.1 	36	other
5.7 	45	other
7.7 	45	other
188.8 	290	nifK
5.3 	42	other
5.4 	37	other
5.4 	31	other
6.6 	33	other
188.8 	290	nifK
5.4 	31	other
6.7 	34	other
7.1 	36	other
7.1 	36	other
190.0 	293	nifK
7.7 	45	other
5.7 	34	other
5.7 	21	other
5.7 	47	other
56.1 	268	other
5.7 	45	other
185.2 	292	other
5.6 	44	other
55.7 	246	other
6.5 	32	other
57.0 	246	other
5.7 	39	other
55.8 	270	other
7.7 	35	other
7.7 	19	other
5.8 	38	other
8.8 	39	other
8.8 	58	other
11.8 	46	other
5.5 	35	other
5.5 	38	other
8.3 	36	other
9.0 	47	other
9.0 	84	other
55.8 	273	other
8.4 	68	other
8.4 	85	other
5.7 	77	other
6.2 	39	other
6.3 	22	other
6.3 	33	other
6.3 	37	other
54.4 	271	other
5.2 	46	other
5.7 	44	other
7.2 	36	other
7.2 	34	other
8.9 	41	other
8.9 	35	other
6.2 	34	other
5.7 	61	other
9.5 	47	other
7.8 	44	other
7.8 	38	other
7.9 	43	other
5.8 	46	other
5.7 	40	other
6.2 	49	other
6.2 	27	other
55.9 	269	other
7.8 	48	other
5.9 	42	other
5.9 	43	other
6.6 	40	other
5.6 	42	other
8.7 	42	other
8.7 	125	other
55.8 	268	other
7.1 	32	other
7.1 	49	other
9.0 	39	other
9.7 	51	other
6.9 	59	other
7.7 	39	other
56.9 	271	other
7.2 	37	other
182.9 	287	nifK
7.3 	57	other
7.3 	8	other
6.5 	37	other
6.5 	39	other
7.3 	57	other
7.3 	8	other
6.5 	37	other
6.5 	39	other
6.8 	58	other
9.1 	53	other
56.9 	271	other
7.2 	37	other
182.9 	287	nifK
6.5 	37	other
6.5 	39	other
6.8 	58	other
9.1 	53	other
56.9 	271	other
7.2 	37	other
182.9 	287	nifK
7.3 	57	other
7.3 	8	other
7.2 	37	other
182.9 	287	nifK
7.3 	57	other
7.3 	8	other
6.5 	37	other
6.5 	39	other
6.9 	59	other
9.1 	53	other
56.9 	271	other
6.5 	37	other
6.5 	39	other
7.3 	57	other
7.3 	8	other
7.2 	37	other
56.9 	271	other
9.1 	53	other
6.8 	58	other
7.3 	57	other
7.3 	8	other
6.5 	37	other
6.5 	39	other
6.8 	58	other
9.1 	53	other
56.9 	271	other
7.2 	37	other
182.9 	287	nifK
10.8 	46	other
10.8 	40	other
7.9 	39	other
6.5 	41	other
6.5 	23	other
7.9 	39	other
6.5 	41	other
6.5 	23	other
10.8 	46	other
10.8 	40	other
6.6 	42	other
7.9 	39	other
10.8 	46	other
10.8 	40	other
6.5 	41	other
6.5 	23	other
7.5 	43	other
5.3 	51	other
5.3 	57	other
188.0 	290	nifK
5.6 	42	other
8.7 	40	other
7.1 	42	other
7.1 	19	other
5.4 	31	other
56.0 	269	other
6.4 	43	other
5.4 	39	other
58.1 	263	other
5.4 	39	other
5.4 	26	other
9.2 	59	other
5.4 	45	other
10.7 	46	other
10.7 	35	other
5.3 	37	other
5.3 	31	other
184.2 	292	other
7.5 	39	other
6.1 	37	other
6.1 	16	other
5.2 	43	other
5.1 	50	other
5.1 	35	other
5.1 	21	other
7.0 	49	other
6.8 	34	other
7.6 	45	other
189.9 	292	nifK
188.4 	292	nifK
5.1 	40	other
56.2 	268	other
9.0 	59	other
6.3 	32	other
8.1 	45	other
8.1 	47	other
7.3 	40	other
5.0 	43	other
5.0 	43	other
8.1 	45	other
8.1 	48	other
5.0 	43	other
7.5 	43	other
7.5 	44	other
5.4 	70	other
5.0 	43	other
6.7 	34	other
8.5 	67	other
8.5 	83	other
56.3 	273	other
5.3 	43	other
5.3 	83	other
12.9 	47	other
12.9 	21	other
9.8 	42	other
6.0 	53	other
6.0 	32	other
56.1 	246	other
7.7 	124	other
7.7 	14	other
5.6 	39	other
6.0 	42	other
6.6 	37	other
6.6 	33	other
6.6 	17	other
8.0 	56	other
8.0 	27	other
8.2 	45	other
8.2 	41	other
7.4 	36	other
6.9 	47	other
6.9 	41	other
6.0 	38	other
6.0 	38	other
55.4 	268	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
6.9 	47	other
55.4 	268	other
7.8 	36	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
6.9 	41	other
7.1 	44	other
7.1 	74	other
155.0 	242	nifK
7.1 	44	other
7.1 	74	other
7.8 	36	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
55.4 	268	other
6.9 	47	other
7.8 	36	other
6.9 	41	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
6.9 	47	other
7.1 	44	other
7.1 	74	other
55.4 	268	other
189.7 	291	nifK
6.9 	41	other
55.4 	268	other
7.4 	36	other
6.0 	38	other
6.0 	38	other
7.1 	44	other
7.1 	74	other
6.9 	47	other
189.7 	291	nifK
7.4 	36	other
55.4 	268	other
6.0 	38	other
6.0 	38	other
7.1 	44	other
7.1 	74	other
6.9 	47	other
6.9 	41	other
6.9 	41	other
6.0 	38	other
6.0 	38	other
7.8 	36	other
55.4 	268	other
189.7 	291	nifK
6.9 	47	other
7.1 	44	other
7.1 	74	other
6.9 	47	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
7.1 	44	other
7.1 	74	other
55.4 	268	other
189.7 	291	nifK
7.8 	36	other
55.4 	268	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
6.9 	41	other
7.1 	44	other
7.1 	74	other
7.8 	36	other
7.8 	36	other
6.9 	47	other
55.4 	268	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
6.9 	41	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
55.4 	268	other
189.7 	291	nifK
7.1 	44	other
7.1 	74	other
7.8 	36	other
6.9 	47	other
6.9 	47	other
7.1 	44	other
7.1 	74	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
7.8 	36	other
55.4 	268	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
55.4 	268	other
6.9 	47	other
6.9 	41	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
7.8 	36	other
55.4 	268	other
6.9 	47	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
7.4 	36	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
55.4 	268	other
189.7 	291	nifK
7.8 	36	other
7.0 	56	other
7.1 	44	other
7.1 	74	other
6.0 	38	other
6.0 	38	other
6.9 	41	other
7.4 	36	other
6.9 	41	other
189.7 	291	nifK
7.1 	44	other
7.1 	74	other
6.0 	38	other
6.0 	38	other
55.4 	268	other
6.9 	47	other
6.9 	47	other
7.8 	36	other
189.7 	291	nifK
6.9 	41	other
7.1 	44	other
7.1 	74	other
6.0 	38	other
6.0 	38	other
55.4 	268	other
55.4 	268	other
6.0 	38	other
6.0 	38	other
7.1 	44	other
7.1 	74	other
6.9 	47	other
6.9 	41	other
189.7 	291	nifK
7.4 	36	other
7.8 	36	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
55.4 	268	other
6.0 	38	other
6.0 	38	other
7.1 	51	other
7.0 	57	other
7.0 	21	other
6.9 	41	other
6.9 	47	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
6.0 	38	other
6.0 	38	other
55.4 	268	other
7.8 	36	other
55.4 	268	other
6.9 	41	other
6.9 	47	other
7.1 	44	other
7.1 	74	other
7.8 	36	other
6.0 	38	other
6.0 	38	other
189.7 	291	nifK
6.6 	32	other
188.8 	292	nifK
5.0 	35	other
5.6 	44	other
5.6 	37	other
5.1 	37	other
5.9 	31	other
56.2 	274	other
6.1 	52	other
7.4 	43	other
188.8 	292	nifK
6.6 	32	other
5.9 	31	other
5.0 	35	other
56.2 	274	other
6.1 	52	other
7.4 	43	other
5.1 	37	other
5.6 	44	other
5.6 	37	other
5.9 	31	other
7.4 	43	other
6.1 	52	other
56.2 	274	other
5.0 	35	other
5.6 	44	other
5.6 	37	other
5.1 	37	other
6.6 	32	other
188.8 	292	nifK
5.9 	31	other
5.0 	35	other
188.8 	292	nifK
6.6 	32	other
6.1 	52	other
5.6 	44	other
5.6 	37	other
5.1 	37	other
7.4 	43	other
56.2 	274	other
7.4 	43	other
5.9 	31	other
5.6 	44	other
5.6 	37	other
5.1 	37	other
6.6 	32	other
188.8 	292	nifK
6.1 	52	other
56.2 	274	other
5.0 	35	other
6.6 	32	other
188.8 	292	nifK
6.1 	52	other
6.0 	36	other
56.2 	274	other
7.4 	43	other
5.1 	37	other
5.6 	44	other
5.6 	37	other
5.0 	35	other
100.5 	147	nifK
78.7 	135	nifK
7.4 	43	other
7.4 	41	other
6.1 	48	other
6.1 	38	other
6.2 	33	other
6.2 	26	other
6.2 	38	other
5.8 	49	other
6.7 	32	other
7.2 	59	other
56.4 	268	other
7.5 	53	other
7.3 	47	other
7.6 	43	other
7.6 	72	other
5.4 	34	other
55.9 	268	other
6.6 	36	other
6.6 	36	other
186.9 	293	other
10.4 	45	other
6.7 	31	other
188.2 	290	nifK
6.0 	45	other
6.9 	49	other
7.5 	34	other
190.6 	292	nifK
9.9 	55	other
9.9 	35	other
7.1 	36	other
7.1 	42	other
6.6 	49	other
7.8 	54	other
7.7 	123	other
58.4 	274	other
10.9 	46	other
9.2 	171	other
5.6 	42	other
9.7 	48	other
5.1 	35	other
6.6 	49	other
9.7 	48	other
7.8 	54	other
9.9 	55	other
9.9 	35	other
7.7 	123	other
7.1 	36	other
7.1 	42	other
58.4 	274	other
9.2 	171	other
5.6 	42	other
10.9 	46	other
5.1 	35	other
5.3 	32	other
7.0 	57	other
58.0 	262	other
5.7 	33	other
10.3 	44	other
10.3 	23	other
182.2 	287	nifK
5.4 	41	other
5.5 	39	other
8.8 	67	other
7.0 	82	other
7.1 	36	other
7.1 	42	other
9.8 	49	other
6.6 	49	other
9.9 	55	other
9.9 	35	other
8.2 	123	other
5.6 	42	other
5.5 	35	other
58.2 	274	other
9.1 	171	other
56.2 	269	other
5.3 	38	other
5.7 	39	other
7.5 	44	other
7.5 	82	other
5.1 	40	other
5.1 	37	other
5.7 	27	other
186.6 	290	nifK
5.8 	39	other
6.5 	33	other
5.7 	27	other
56.0 	269	other
7.7 	44	other
7.7 	51	other
8.1 	39	other
8.1 	50	other
7.8 	43	other
190.0 	292	nifK
5.1 	36	other
5.5 	47	other
56.1 	268	other
5.0 	43	other
5.0 	43	other
185.7 	293	other
7.6 	45	other
187.8 	292	nifK
5.3 	37	other
5.3 	31	other
5.5 	40	other
9.0 	40	other
7.1 	49	other
4.6 	54	other
4.6 	31	other
4.6 	19	other
6.6 	34	other
5.0 	43	other
6.5 	58	other
5.2 	33	other
5.4 	44	other
7.3 	36	other
7.3 	36	other
187.7 	293	nifK
7.2 	50	other
5.3 	39	other
7.6 	51	other
56.2 	268	other
6.6 	43	other
6.6 	39	other
6.5 	58	other
9.8 	47	other
4.8 	55	other
4.8 	36	other
4.8 	20	other
188.2 	292	nifK
185.5 	293	other
7.6 	45	other
6.5 	33	other
4.9 	52	other
7.8 	48	other
6.6 	40	other
5.7 	40	other
5.9 	43	other
55.8 	270	other
5.6 	45	other
5.6 	27	other
5.9 	30	other
5.9 	46	other
5.8 	41	other
7.2 	45	other
6.3 	40	other
8.0 	48	other
6.3 	43	other
6.3 	71	other
5.8 	34	other
5.3 	42	other
56.3 	268	other
6.1 	31	other
6.1 	23	other
6.0 	40	other
6.0 	20	other
8.9 	44	other
5.3 	45	other
9.2 	35	other
9.2 	105	other
8.3 	43	other
5.5 	42	other
6.6 	41	other
6.9 	34	other
6.9 	31	other
55.6 	270	other
7.3 	45	other
7.3 	81	other
6.9 	37	other
7.1 	35	other
5.2 	42	other
5.2 	25	other
5.2 	40	other
6.1 	81	other
5.8 	42	other
6.4 	40	other
7.2 	49	other
6.5 	40	other
56.7 	268	other
5.4 	39	other
9.9 	45	other
5.5 	36	other
5.5 	35	other
8.3 	43	other
8.3 	75	other
6.6 	36	other
7.4 	40	other
7.4 	60	other
9.5 	37	other
9.5 	53	other
6.1 	31	other
6.9 	44	other
6.0 	45	other
6.0 	39	other
8.4 	54	other
56.4 	268	other
7.6 	61	other
6.7 	53	other
6.4 	37	other
8.1 	63	other
56.7 	245	other
6.2 	34	other
6.1 	43	other
6.6 	82	other
5.9 	36	other
5.9 	34	other
9.8 	37	other
9.8 	53	other
9.3 	44	other
9.3 	107	other
6.6 	54	other
5.1 	41	other
6.2 	54	other
5.0 	37	other
5.6 	60	other
5.5 	31	other
5.1 	46	other
6.0 	48	other
57.0 	268	other
5.4 	37	other
7.1 	59	other
5.8 	42	other
187.3 	290	nifK
55.7 	268	other
5.0 	46	other
5.5 	33	other
5.6 	33	other
5.6 	32	other
6.0 	30	other
5.3 	31	other
7.8 	44	other
7.8 	74	other
6.3 	37	other
6.3 	38	other
7.9 	44	other
7.9 	30	other
5.8 	47	other
7.7 	48	other
7.7 	41	other
7.7 	35	other
57.2 	269	other
6.7 	43	other
7.3 	36	other
8.2 	46	other
6.5 	36	other
6.4 	52	other
55.5 	246	other
5.4 	40	other
5.4 	105	other
55.5 	245	other
5.2 	35	other
5.9 	44	other
5.9 	52	other
5.9 	34	other
55.4 	267	other
5.4 	40	other
10.5 	43	other
10.5 	24	other
6.7 	34	other
7.0 	45	other
5.6 	42	other
5.5 	41	other
5.5 	39	other
8.3 	36	other
179.2 	288	nifK
9.6 	36	other
9.6 	54	other
187.3 	290	nifK
55.7 	268	other
5.8 	42	other
5.6 	33	other
5.6 	31	other
7.8 	44	other
7.8 	74	other
5.0 	44	other
6.3 	37	other
6.3 	40	other
7.1 	59	other
6.0 	30	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
5.4 	41	other
5.4 	55	other
6.6 	49	other
7.8 	54	other
5.6 	42	other
7.1 	36	other
7.1 	42	other
9.9 	48	other
9.9 	16	other
8.5 	155	other
9.8 	55	other
9.8 	35	other
58.2 	274	other
11.0 	46	other
8.7 	123	other
5.5 	42	other
8.3 	210	other
8.1 	39	other
7.1 	41	other
8.1 	42	other
8.1 	27	other
6.0 	37	other
6.0 	37	other
8.3 	210	other
8.1 	39	other
6.9 	41	other
8.1 	42	other
8.1 	27	other
5.5 	42	other
6.0 	37	other
6.0 	37	other
8.3 	210	other
6.8 	40	other
6.0 	37	other
8.1 	42	other
8.1 	27	other
8.1 	39	other
6.0 	37	other
5.5 	42	other
8.1 	39	other
8.3 	210	other
6.0 	37	other
6.8 	40	other
5.5 	42	other
6.0 	37	other
8.4 	78	other
8.4 	27	other
8.3 	210	other
8.1 	39	other
6.0 	37	other
7.9 	42	other
7.9 	27	other
5.5 	42	other
6.6 	32	other
6.0 	37	other
6.0 	37	other
6.0 	37	other
8.2 	210	other
5.4 	39	other
8.0 	39	other
7.1 	41	other
8.1 	42	other
8.1 	27	other
5.5 	42	other
8.3 	210	other
8.1 	39	other
6.0 	37	other
6.1 	37	other
6.1 	47	other
5.5 	42	other
8.1 	42	other
8.1 	27	other
6.0 	37	other
8.3 	210	other
6.0 	37	other
8.1 	39	other
7.1 	41	other
5.5 	42	other
6.0 	37	other
6.0 	37	other
8.1 	39	other
8.2 	42	other
8.2 	27	other
8.3 	210	other
8.3 	210	other
8.1 	39	other
6.1 	37	other
6.1 	47	other
5.5 	42	other
6.0 	37	other
7.1 	41	other
5.5 	42	other
8.1 	42	other
8.1 	27	other
6.0 	37	other
8.3 	210	other
8.1 	39	other
6.0 	37	other
8.3 	210	other
6.0 	37	other
8.1 	39	other
6.0 	37	other
5.5 	42	other
6.0 	37	other
8.3 	210	other
8.1 	39	other
5.5 	42	other
6.0 	37	other
8.1 	40	other
8.1 	27	other
6.7 	44	other
6.9 	33	other
5.2 	39	other
5.4 	37	other
5.6 	49	other
7.6 	66	other
8.3 	210	other
8.1 	39	other
6.0 	37	other
5.5 	42	other
6.0 	37	other
8.2 	42	other
8.2 	27	other
7.1 	41	other
5.5 	42	other
6.0 	37	other
8.1 	39	other
8.1 	42	other
8.1 	27	other
6.0 	37	other
8.3 	210	other
6.0 	41	other
6.0 	47	other
5.1 	39	other
5.5 	46	other
6.0 	39	other
5.3 	34	other
7.3 	67	other
6.0 	37	other
8.3 	210	other
5.5 	42	other
8.1 	39	other
8.1 	42	other
8.1 	27	other
8.1 	39	other
6.8 	40	other
6.0 	37	other
5.5 	42	other
6.0 	37	other
8.3 	210	other
8.1 	42	other
8.1 	27	other
8.3 	210	other
8.1 	42	other
8.1 	27	other
6.0 	37	other
5.5 	42	other
8.1 	39	other
6.0 	37	other
6.0 	37	other
8.1 	42	other
8.1 	27	other
7.1 	41	other
8.3 	210	other
8.1 	39	other
6.0 	37	other
5.5 	42	other
9.3 	37	other
9.3 	57	other
8.1 	39	other
8.3 	210	other
7.5 	53	other
6.0 	37	other
5.5 	42	other
6.0 	37	other
8.1 	42	other
8.1 	27	other
8.1 	39	other
5.5 	42	other
6.0 	37	other
6.1 	37	other
6.1 	47	other
8.3 	210	other
8.1 	42	other
8.1 	27	other
5.8 	42	other
6.7 	46	other
6.7 	48	other
6.7 	37	other
6.6 	33	other
5.6 	37	other
56.0 	270	other
7.5 	45	other
7.5 	74	other
189.4 	292	nifK
10.0 	62	other
78.0 	133	nifK
98.4 	143	nifK
7.6 	42	other
7.6 	69	other
10.0 	43	other
10.0 	24	other
6.1 	50	other
9.0 	48	other
55.3 	270	other
5.3 	39	other
6.5 	37	other
6.5 	22	other
5.6 	20	other
5.6 	21	other
6.6 	43	other
