length	Evalue	attribute
5.8 	40	other
154.5 	271	nifK
5.2 	36	other
5.2 	37	other
5.2 	29	other
7.7 	44	other
5.2 	34	other
5.6 	60	other
5.3 	38	other
8.0 	55	other
8.0 	33	other
183.1 	287	nifK
5.3 	39	other
7.4 	40	other
6.2 	32	other
5.6 	22	other
5.6 	31	other
5.6 	16	other
57.9 	261	other
57.8 	246	other
5.8 	42	other
5.8 	112	other
6.0 	32	other
5.2 	39	other
58.4 	263	other
7.2 	50	other
7.2 	49	other
6.9 	44	other
6.9 	101	other
57.3 	257	other
7.1 	42	other
8.4 	45	other
8.4 	31	other
7.6 	54	other
6.4 	31	other
5.7 	40	other
5.7 	35	other
5.9 	49	other
178.1 	288	nifK
56.4 	270	other
5.9 	41	other
9.5 	19	other
9.5 	44	other
8.4 	36	other
8.4 	27	other
5.2 	39	other
5.1 	26	other
55.8 	271	other
8.1 	39	other
5.0 	56	other
5.0 	28	other
6.9 	41	other
8.0 	234	other
9.4 	38	other
9.4 	59	other
6.9 	44	other
6.9 	29	other
10.5 	51	other
178.5 	288	other
5.1 	34	other
7.2 	31	other
7.2 	32	other
7.2 	21	other
5.8 	35	other
56.0 	270	other
6.7 	46	other
6.7 	48	other
6.7 	37	other
5.6 	37	other
10.0 	62	other
6.6 	33	other
7.5 	45	other
7.5 	74	other
189.4 	292	nifK
78.0 	133	nifK
98.4 	143	nifK
5.8 	42	other
5.0 	44	other
5.6 	42	other
55.7 	269	other
6.6 	33	other
6.6 	29	other
8.4 	36	other
9.4 	43	other
7.8 	44	other
7.8 	30	other
179.3 	287	nifK
5.6 	40	other
5.7 	34	other
6.6 	43	other
8.3 	48	other
6.2 	56	other
6.2 	37	other
5.3 	39	other
7.3 	37	other
5.6 	20	other
5.6 	21	other
10.0 	43	other
10.0 	24	other
5.7 	34	other
6.1 	50	other
55.3 	270	other
5.2 	84	other
7.0 	27	other
7.0 	35	other
7.0 	20	other
6.9 	28	other
6.9 	35	other
6.9 	20	other
6.2 	56	other
6.2 	37	other
5.9 	44	other
6.6 	43	other
9.9 	43	other
9.9 	24	other
5.9 	47	other
5.7 	34	other
2.8 	32	other
2.8 	26	other
2.8 	25	other
2.8 	26	other
5.3 	39	other
8.6 	49	other
55.3 	270	other
6.6 	32	other
188.8 	292	nifK
7.4 	43	other
56.2 	274	other
5.6 	44	other
5.6 	37	other
5.1 	37	other
6.1 	52	other
5.0 	35	other
6.0 	36	other
6.7 	34	other
8.8 	49	other
56.3 	277	other
6.1 	52	other
7.3 	43	other
7.3 	19	other
56.9 	245	other
6.0 	47	other
5.3 	40	other
5.3 	57	other
57.4 	262	other
5.3 	41	other
6.4 	47	other
6.2 	35	other
6.2 	36	other
5.4 	68	other
188.5 	292	nifK
5.1 	35	other
5.1 	42	other
6.4 	27	other
6.4 	32	other
5.9 	33	other
5.9 	23	other
6.2 	37	other
8.4 	52	other
7.0 	44	other
7.0 	25	other
5.7 	32	other
55.9 	268	other
5.5 	42	other
6.0 	41	other
57.3 	252	other
6.2 	44	other
6.2 	34	other
6.2 	51	other
189.5 	289	nifK
7.4 	45	other
7.4 	43	other
5.8 	48	other
56.2 	271	other
5.1 	37	other
5.1 	30	other
6.9 	48	other
188.7 	290	nifK
186.1 	293	other
7.3 	51	other
7.3 	42	other
5.3 	52	other
6.5 	30	other
6.5 	30	other
56.2 	268	other
7.8 	43	other
7.8 	42	other
5.2 	37	other
189.9 	292	nifK
130.9 	271	nifK
187.7 	293	nifK
6.7 	32	other
185.3 	289	nifK
188.2 	291	nifK
6.9 	42	other
9.8 	35	other
9.8 	47	other
5.2 	41	other
5.2 	30	other
7.6 	50	other
6.2 	56	other
6.2 	37	other
5.9 	44	other
6.9 	28	other
6.9 	35	other
6.9 	20	other
6.6 	43	other
9.9 	43	other
9.9 	24	other
5.3 	39	other
8.6 	49	other
55.3 	270	other
5.7 	34	other
5.9 	47	other
5.6 	28	other
7.2 	37	other
7.2 	76	other
9.5 	43	other
9.5 	23	other
6.9 	44	other
6.5 	26	other
6.5 	41	other
55.5 	268	other
7.9 	39	other
7.9 	41	other
5.5 	39	other
8.1 	47	other
5.5 	42	other
6.8 	34	other
5.7 	52	other
5.7 	35	other
6.7 	55	other
6.7 	20	other
55.5 	268	other
11.4 	47	other
11.4 	32	other
5.6 	32	other
5.5 	39	other
8.5 	45	other
6.5 	31	other
57.4 	263	other
5.3 	40	other
58.2 	263	other
5.2 	44	other
7.2 	46	other
7.2 	52	other
5.4 	44	other
5.1 	48	other
58.1 	247	other
55.4 	268	other
7.1 	44	other
7.1 	74	other
189.7 	291	nifK
6.9 	41	other
7.8 	36	other
6.0 	38	other
6.0 	38	other
6.9 	47	other
5.8 	37	other
5.8 	72	other
5.6 	40	other
8.4 	37	other
5.6 	43	other
55.8 	269	other
180.0 	292	other
6.6 	33	other
5.5 	41	other
11.3 	43	other
11.3 	24	other
7.5 	48	other
7.7 	44	other
7.7 	30	other
5.6 	40	other
5.6 	34	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
58.2 	274	other
9.8 	55	other
9.8 	35	other
7.1 	36	other
7.1 	42	other
8.5 	155	other
6.6 	49	other
7.2 	54	other
5.6 	42	other
11.0 	46	other
8.4 	123	other
188.9 	291	nifK
135.2 	272	nifK
185.5 	293	other
190.3 	293	nifK
7.0 	49	other
5.2 	30	other
5.2 	56	other
7.5 	46	other
7.5 	74	other
5.9 	45	other
5.2 	37	other
6.5 	56	other
6.5 	26	other
6.5 	36	other
56.8 	270	other
6.2 	28	other
6.2 	24	other
4.9 	47	other
8.5 	46	other
8.5 	42	other
7.0 	43	other
7.0 	42	other
6.4 	46	other
6.4 	71	other
6.5 	41	other
5.4 	38	other
9.9 	64	other
9.9 	62	other
6.6 	43	other
7.0 	27	other
7.0 	35	other
7.0 	20	other
5.7 	34	other
5.7 	34	other
6.2 	56	other
6.2 	37	other
5.2 	84	other
10.0 	43	other
10.0 	24	other
5.9 	50	other
8.3 	48	other
55.3 	270	other
5.3 	39	other
6.6 	37	other
6.6 	22	other
5.8 	24	other
5.8 	21	other
8.7 	64	other
9.9 	50	other
5.6 	42	other
6.6 	49	other
9.1 	171	other
58.4 	274	other
9.9 	55	other
9.9 	35	other
10.9 	46	other
7.1 	36	other
7.1 	42	other
9.5 	123	other
5.9 	50	other
7.6 	37	other
6.1 	39	other
6.1 	31	other
6.1 	27	other
182.7 	287	nifK
56.1 	269	other
5.6 	38	other
8.3 	61	other
8.3 	47	other
5.6 	33	other
5.0 	39	other
7.6 	49	other
7.6 	52	other
7.4 	32	other
7.9 	36	other
5.8 	41	other
5.2 	68	other
5.5 	35	other
5.5 	20	other
9.4 	44	other
9.4 	37	other
55.9 	269	other
7.0 	51	other
